identified_template,type,corr_oracle_templates,num_messages,id_ground
[ IO80211AWDLPeerManager::setAwdlSuspendedMode (  )   Suspending  AWDL   enterQuietMode ( true )  ] ,Partial,"['<*>::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)']",11,E61
[ CCFile::captureLogRun (  )   Exiting  CCFile::captureLogRun ] ,Match,['CCFile::captureLogRun() Exiting CCFile::captureLogRun'],22,E173
[ <*> ( <*> )   deny  network-outbound  /private/var/run/mdnsresponder ] ,Match,['<*>(<*>) deny network-outbound /private/var/run/mDNSResponder'],29,E52
[ arpt:  <*>:  wl0:  mdns:  ipv6  addr:  <*> ] ,Match,['ARPT: <*>.<*>: wl0: MDNS: IPV6 Addr: <*>'],28,E142
[ airport:  link  up  on  <*> ] ,Partial,"['AirPort: Link Up on en0', 'AirPort: Link Up on awdl0']",13,E112
[ sandbox:  <*> ( <*> )   deny ( <*> )   network-outbound  /private/var/run/mdnsresponder ] ,Match,['Sandbox: <*>(<*>) deny(<*>) network-outbound /private/var/run/mDNSResponder'],29,E300
[ arpt:  <*>:  airport_brcm43xx::platformwowenable:  wwen [ enable ]  ] ,Partial,['ARPT: <*>.<*>: AirPort_<*>::platformWoWEnable: WWEN[enable]'],12,E125
[ applethunderboltgenerichal::earlywake  -  complete  -  took  <*>  milliseconds ] ,Match,['AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds'],22,E122
[ applethunderboltnhitype2::waitforok2go2sx  -  retries   =   <*> ] ,Partial,['<*>::<*> - retries = <*>'],11,E55
[ arpt:  <*>:  wl0:  wl_update_tcpkeep_seq:  updated  seq/ack/win  from  userclient  seq  <*>   ack  <*>   win  size  <*> ] ,Match,"['ARPT: <*>.<*>: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*>, Ack <*>, Win size <*>']",10,E150
[ en0::IO80211Interface::postMessage  bssid  changed ] ,Partial,['<*>::<*>::postMessage bssid changed'],10,E56
[ AppleThunderboltNHIType2::waitForOk2Go2Sx  -  intel_rp   = <*> dlla_reporting_supported   = <*> ] ,Partial,['<*>::<*> - intel_rp = <*> dlla_reporting_supported = <*>'],6,E54
[ AppleCamIn::wakeEventHandlerThread ] ,Match,['AppleCamIn::wakeEventHandlerThread'],20,E121
[ arpt:  <*>:  wl0:  setup_keepalive:  local  port:  <*>   remote  port:  <*> ] ,Match,"['ARPT: <*>.<*>: wl0: setup_keepalive: Local port: <*>, Remote port: <*>']",8,E146
[ - [ UABestAppSuggestionManager  notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType: ]    ( null )   UASuggestedActionType = <*> ( null ) / ( null )   opts =  ( null )   when = <*>  <*>  +0000  confidence = <*> from =  ( null ) / ( null )    ( UABestAppSuggestionManager.m <*> )  ] ,Partial,['-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=<*> (null)/(null) opts=(null) when=<*>'],14,E48
[ en0:  channel  changed  to  <*> ] ,Match,['en0: channel changed to <*>'],14,E208
[ arpt:  <*>:  aqm  agg  results  <*>  len  hi/lo:  <*>  <*>  babitmap ( 0-3 ) <*> 0 <*> 0 ] ,Partial,['ARPT: <*>.<*>: AQM agg results <*> len hi/lo: <*> <*> BAbitmap(<*>-<*>) <*>'],7,E130
[ ccfile::capturelog  received  capture  notice  id:  <*>   reason   =   authfail:sts:5_rsn:0 ] ,Partial,"['CCFile::captureLog Received Capture notice id: <*>, reason = AuthFail:sts:<NUM>_rsn:<NUM>', 'CCFile::captureLog Received Capture notice id: <*>, reason = DeauthInd:sts:<NUM>_rsn:<NUM>', 'CCFile::captureLog Received Capture notice id: <*>, reason = AssocFail:sts:<NUM>_rsn:<NUM>', 'CCFile::captureLog Received Capture notice id: <*>, reason = RoamFail:sts:<NUM>_rsn:<NUM>']",20,E171
[ IO80211AWDLPeerManager::setAwdlOperatingMode  Setting  the  AWDL  operation  mode  from  AUTO  to  SUSPENDED ] ,Partial,['<*>::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED'],14,E59
[ Unrecognized  attribute  value:  t:AbchPersonItemType ] ,Match,['Unrecognized attribute value: t:AbchPersonItemType'],8,E328
"[ sosaccountthisdevicecansyncwithcircle  <*>  <*>  <*>  <*>:  error  domain = <*>  code = <*>  ""account  <*>  <*>  set""  userinfo = nsdescription = account  <*>  <*>  set ] ",Partial,"['SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}']",12,E313
[ CFPasteboardRef  CFPasteboardCreate ( CFAllocatorRef   CFStringRef )   :  failed  to  create  global  data ] ,Match,"['CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data']",2,E183
[ <*>  :  BTLE  scanner  Powered  On ] ,Match,['<*>:<*>:<*>.<*> : BTLE scanner Powered On'],8,E64
[ button  report:  <*> ] ,Match,['button report: <*>'],20,E161
"[ <*>  <*> [ <*> ]   <*>  <*>  domain = nsosstatuserrordomain  code = -<*>  ""query  <*>  <*>  name""   ( paramerr:  <*>  <*>  <*>  <*>  <*> )   userinfo = nsdescription = query  <*>  <*>  name ] ",Partial,"['securityd_xpc_dictionary_handler cloudd[<*>] copy_matching Error Domain=NSOSStatusErrorDomain Code=<*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}']",4,E304
"[ location  icon  should  now  be  in  state  ""active"" ] ",Partial,"[""Location icon should now be in state 'Inactive'"", ""Location icon should now be in state 'Active'""]",37,E259
[ arpt:  <*>:  wl0:  setup_keepalive:  interval  <*>   retry_interval <*> retry_count <*> ] ,Match,"['ARPT: <*>.<*>: wl0: setup_keepalive: interval <*>, retry_interval <*>, retry_count <*>']",11,E144
[ arpt:  <*>:  wl0:  mdns:  ipv4  addr:  <*> ] ,Match,['ARPT: <*>.<*>: wl0: MDNS: IPV4 Addr: <*>'],4,E141
[ __42- [ netclientconnection  evaluatecrazyivan46 ] _block_invoke  ci46  -  hit  by  torpedo  qq.10018  <*>  <*> ] ,Partial,['__<*>-[NETClientConnection <*>]_block_invoke CI46 - Hit by torpedo! <*>.<*> tc<*> <*>:<*>'],10,E49
[ Setting  BTCoex  Config:  enable_2G:1   profile_2g:0   enable_5G:1   profile_5G:0 ] ,Partial,"['Setting BTCoex Config: enable_<*>:<*>, profile_<*>:<*>, enable_<*>:<*>, profile_<*>:<*>']",7,E310
"[ Captive:   [ CNInfoNetworkActive:1748 ]   en0:  SSID  ""CalVisitor""  making  interface  primary   ( cache  indicates  network  not  captive )  ] ",Partial,"[""Captive: [CNInfoNetworkActive:<*>] en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive)""]",3,E162
[ IO80211AWDLPeerManager::setAwdlOperatingMode  Setting  the  AWDL  operation  mode  from  SUSPENDED  to  AUTO ] ,Partial,['<*>::setAwdlOperatingMode Setting the AWDL operation mode from SUSPENDED to AUTO'],6,E60
[ - [ NetworkAnalyticsEngine  _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty: ]   Hashing  of  the  primary  key  failed.  Dropping  the  journal  record. ] ,Match,['-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.'],17,E44
[ Captive:  CNPluginHandler  en0:  Evaluating ] ,Match,['Captive: CNPluginHandler en0: Evaluating'],4,E164
[ tcp_connection_destination_perform_socket_connect  <*>  connectx  to  <*>  failed:   [ <*> ]   network  is  down ] ,Match,['tcp_connection_destination_perform_socket_connect <*> connectx to <*>:<*>@<*> failed: [<*>] Network is down'],3,E316
[ AirPort:  Link  Down  on  en0.  Reason <*> ( Disassociated  because  station  leaving ) . ] ,Match,['AirPort: Link Down on en0. Reason <*> (Disassociated because station leaving).'],5,E110
[ USBMSC  Identifier   ( non-unique ) : <*> <*>  <*>  <*> <*> ] ,Match,['USBMSC Identifier (non-unique): <*>'],12,E331
[ CCXPCService::setStreamEventHandler  Registered  for  notification  callback. ] ,Match,['CCXPCService::setStreamEventHandler Registered for notification callback.'],2,E180
[  [ 0705/190016:warning:dns_config_service_posix.cc ( <*> )  ]   failed  to  read  dnsconfig. ] ,Partial,['[<*>/<*>:WARNING:dns_config_service_posix.cc(<*>)] Failed to read DnsConfig.'],4,E10
[ saw  change  in  network  reachability   ( isreachable = <*> )  ] ,Match,['Saw change in network reachability (isReachable=<*>)'],4,E301
[  [ HID ]    [ ATC ]   AppleDeviceManagementHIDEventService::processWakeReason  Wake  reason:  Host   ( <*> )  ] ,Match,['[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (<*>)'],8,E33
[ en0:  BSSID  changed  to  <*> ] ,Match,['en0: BSSID changed to <*>'],16,E207
[ dnssd_clientstub  connecttoserver:  connect (  ) -  no  of  tries:  <*> ] ,Match,['dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>'],44,E203
[ - [ NETClientConnection  effectiveBundleID ]   using  process  name  apsd  as  bundle  ID   ( this  is  expected  for  daemons  without  bundle  ID ] ,Match,['-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID'],9,E41
[ rtc:  maintenance  <*>  <*>   sleep  <*>  <*> ] ,Match,"['RTC: Maintenance <*>/<*>/<*> <*>:<*>:<*>, sleep <*>/<*>/<*> <*>:<*>:<*>']",5,E295
[ en0:  channel  changed  to  <*> +1 ] ,Partial,['en0: channel changed to <*>'],6,E208
[ RTC:  PowerByCalendarDate  setting  ignored ] ,Match,['RTC: PowerByCalendarDate setting ignored'],11,E296
"[ en0:  802.11d  country  code  set  to  ""us."" ] ",Partial,"[""en0: <*>.<*> country code set to '<*>'.""]",5,E206
[ arpt:  <*>:  wl0:  setup_keepalive:  seq:  <*>   ack:  <*>   win  size: <*> ] ,Match,"['ARPT: <*>.<*>: wl0: setup_keepalive: Seq: <*>, Ack: <*>, Win size: <*>']",8,E148
[ QQ ( <*> )   deny  mach-lookup  <*> ] ,Mismatch,['<*>(<*>) deny mach-lookup com.apple.networking.captivenetworksupport'],6,E51
[  [ HID ]    [ MT ]   AppleMultitouchDevice::willTerminate  entered ] ,Match,['[HID] [MT] AppleMultitouchDevice::willTerminate entered'],3,E36
[ dnssd_clientstub  ConnectToServer:  connect (  )   failed  path:/var/run/mDNSResponder  Socket:4  Err:-1  Errno:1  Operation  not  permitted ] ,Partial,['dnssd_clientstub ConnectToServer: connect() failed path:/var/run/mDNSResponder Socket:<*> Err:<*> Errno:<*> Operation not permitted'],13,E202
[ pages  <*>   wire  <*>   act  <*>   inact <*> cleaned <*> spec  <*>   zf  <*>   throt <*> compr  <*>   xpmapped <*> ] ,Match,"['pages <*>, wire <*>, act <*>, inact <*>, cleaned <*> spec <*>, zf <*>, throt <*>, compr <*>, xpmapped <*>']",4,E282
[ - [ ISGenerateImageOp  generateImageWithCompletion: ]   Failed  to  composit  image  for  descriptor  ISBindingImageDescriptor:  <*>. ] ,Match,['-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <ISBindingImageDescriptor: <*>>.'],20,E40
[ Error  returned  from  iconservicesagent:   ( null )  ] ,Match,['Error returned from iconservicesagent: (null)'],13,E214
[ tcp_connection_tls_session_error_callback_imp  <*>  __tcp_connection_tls_session_callback_write_block_invoke.434  error  <*> ] ,Partial,"['tcp_connection_tls_session_error_callback_imp <*> __tcp_connection_tls_session_callback_write_block_invoke.<*> error <*>', 'tcp_connection_tls_session_error_callback_imp <*> tcp_connection_tls_session_handle_read_error.<*> error <*>']",9,E319
"[ secosstatuswith  error: [ -<*> ]   error  domain = nsosstatuserrordomain  code = -<*>  ""query  <*>  <*>  name""   ( paramerr:  error  <*>  <*>  <*>  <*> )   userinfo = nsdescription = query  <*>  <*>  name ] ",Partial,"['SecOSStatusWith error:[<*>] Error Domain=NSOSStatusErrorDomain Code=<*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}']",5,E303
[ send_datagram_available_ping:  pid <*> failed  to  act  on  a  ping  it  dequeued  before  timing  out. ] ,Match,['send_datagram_available_ping: pid <*> failed to act on a ping it dequeued before timing out.'],26,E305
[ device_generate_desktop_screenshot:  authw  <*> ( <*> )    shield  <*> ( <*> )  ] ,Match,"['device_generate_desktop_screenshot: authw <*>(<*>), shield <*>(<*>)']",3,E199
[  [ <*> ]    [ Refusing  to  parse  response  to  PROPPATCH  because  of  content-type:   [ text/html;  charset = UTF-8 ] . ]  ] ,Partial,['[com.apple.calendar.store.log.caldav.coredav] [Refusing to parse response to PROPPATCH because of content-type: [text/html; charset=UTF-<*>].]'],5,E28
[ network:  requery <*> 0 <*> 0   <*>   items   fqueryretries <*> flastretrytimestamp   <*> ] ,Partial,"['NETWORK: requery, <*>, <*>, <*>, <*>, <*>, items, fQueryRetries, <*>, fLastRetryTimestamp, <*>.<*>']",17,E271
[ Previous  sleep  cause: <*> ] ,Match,['Previous sleep cause: <*>'],15,E293
[ Wake  reason:  RTC   ( Alarm )  ] ,Match,['Wake reason: RTC (Alarm)'],5,E338
[ applethunderboltnhitype2::prepciwake  -  power  up  complete  -  took  <*>  us ] ,Partial,['<*>::prePCIWake - power up complete - took <*> us'],15,E57
[ network  changed:  v4 ( en0+:<*> )   v6 ( en0<*>467f )   dns  proxy  smb ] ,Partial,"['network changed: <*>(<*>:<*>) <*>(<*>) DNS! Proxy SMB', 'network changed: <*>(<*>:<*>) <*>(<*>) DNS Proxy SMB']",8,E267
[ hibernate_page_list_setall  found  pagecount  <*> ] ,Match,['hibernate_page_list_setall found pageCount <*>'],2,E233
[  [ HID ]    [ ATC ]    [ Error ]   AppleDeviceManagementHIDEventService::start  Could  not  make  a  string  from  out  connection  notification  key ] ,Match,['[HID] [ATC] [Error] AppleDeviceManagementHIDEventService::start Could not make a string from out connection notification key'],2,E32
[ <*>  <*>    i    voipwrapper    davengineimpl.cpp:1400:close    close  video  chat.  llfrienduin   =   <*>. ] ,Partial,['<*>/<*>/<*> <*>:<*>:<*>.<*> | I | VoipWrapper  | DAVEngineImpl.cpp:<*>:Close             | close video chat. llFriendUIN = <*><*>.'],4,E53
"[ arpt:  <*>:  iopmpowersource  information:  onsleep   sleeptype:  normal  sleep   ""externalconnected:""  no   ""timeremaining:""  <*>  ] ",Match,"[""ARPT: <*>.<*>: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': No, 'TimeRemaining': <*>,""]",6,E134
[ Bluetooth  --  LE  is  supported  -  Disable  LE  meta  event ] ,Match,['Bluetooth -- LE is supported - Disable LE meta event'],11,E157
[ <*>  :  Discoverable  mode  changed  to  Off ] ,Match,['<*>:<*>:<*>.<*> : Discoverable mode changed to Off'],2,E67
[ tcp_connection_handle_connect_conditions_bad  <*>  failed: <*> -  no  network  route ] ,Match,['tcp_connection_handle_connect_conditions_bad <*> failed: <*> - No network route'],18,E318
[ Captive:  CNPluginHandler  en0:  Authenticated ] ,Match,['Captive: CNPluginHandler en0: Authenticated'],7,E163
[ arpt:  <*>:  wl0:  setup_keepalive:  local  ip:  <*> ] ,Match,['ARPT: <*>.<*>: wl0: setup_keepalive: Local IP: <*>'],4,E145
[ TBT  W   ( <*> ) :  <*>   [ x ]  ] ,Match,['TBT W (<*>): <*> [x]'],4,E314
[ network  changed:  DNS  Proxy ] ,Match,['network changed: DNS* Proxy'],3,E269
[ ASL  Sender  Statistics ] ,Match,['ASL Sender Statistics'],9,E153
"[ <*>  <*>  googlesoftwareupdateagent [ <*>/<*> ]    [ lvl = <*> ]   - [ ksupdateengine  updateallexceptproduct: ]   ksupdateengine  updating  all  installed  products   ""except:<*>."" ] ",Partial,"[""<*>-<*>-<*> <*>:<*>:<*>.<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSUpdateEngine updateAllExceptProduct:] KSUpdateEngine updating all installed products, except:'com.google.Keystone'.""]",2,E90
[ <*>  <*>  <*> [ <*>/<*> ]    [ <*> = <*> ]   <*> (  )   <*>  <*>  url   ( nsmutableurlrequest:  <*>    url:  https://<*>/service/update2cup2hreq = <*> = <*>   )   <*>  folder:/tmp/ksoutofprocessfetcher.apwod5qmh1/download ] ,Partial,['<*>-<*>-<*> <*>:<*>:<*>.<*> ksfetch[<*>/<*>] [lvl=<*>] main() ksfetch fetching URL (<NSMutableURLRequest: <*>> { URL: <*> }) to folder:<*>'],2,E96
"[ Path  not  allowed  in  target  domain:  type   =   pid   path   =   /System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices<*>/Contents/MacOS<*>  error   =   147:  The  specified  service  did  not  ship  in  the  ""requestors""  bundle   origin   =   /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices<*> ] ",Partial,"[""Path not allowed in target domain: type = pid, path = <*> error = <*>: The specified service did not ship in the requestor's bundle, origin = <*>""]",15,E283
[  [ <*> ]     IQ-CA    piqca_setUsePreQueue:   ( <*> )   rejecting  report  of  layer  being  serviced  -  IQ  has  not  yet  begun  to  update ] ,Match,['[<*>:<*>:<*>.<*>] <<<< IQ-CA >>>> piqca_setUsePreQueue: (<*>) rejecting report of layer being serviced - IQ has not yet begun to update'],4,E16
[  [ <*> ]   itemasync_setproperty  signalled  err = <*> ( kfigbaseobjecterror_invalidated )    ( invalidated )   at  /library/caches<*>/sources/coremedia<*>/prototypes/player/figplayer_async.c  line  <*> ] ,Partial,"['[<*>:<*>:<*>.<*>] itemasync_SetProperty signalled err=<*> (kFigBaseObjectError_Invalidated) (invalidated) at <*> line <*>', '[<*>:<*>:<*>.<*>] itemasync_CopyProperty signalled err=<*> (kFigBaseObjectError_Invalidated) (invalidated) at <*> line <*>']",9,E19
[ KeychainGetICDPStatus:  keychain: <*> ] ,Match,['KeychainGetICDPStatus: keychain: <*>'],14,E256
[ arpt:  <*>:  wl0:  leavemodulepoweredforoffloads:  wi-fi  will  stay  on. ] ,Match,['ARPT: <*>.<*>: wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.'],9,E139
"[ arpt:  <*>:  iopmpowersource  information:  onwake   sleeptype:  normal  sleep   ""externalconnected:""  yes   ""timeremaining:"" <*> ] ",Match,"[""ARPT: <*>.<*>: IOPMPowerSource Information: onWake,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': <*>,""]",3,E138
[ Captive:  CNPluginHandler  en0:  Inactive ] ,Match,['Captive: CNPluginHandler en0: Inactive'],4,E165
[ in6_unlink_ifa:  IPv6  address  <*>  has  no  prefix ] ,Partial,['<*>_unlink_ifa: IPv6 address <*> has no prefix'],9,E75
[ device_generate_lock_screen_screenshot:  authw  <*> ( <*> )  [ <*> 0 <*> 900 ]   shield  <*> ( <*> )    dev   [ <*> 900 ]  ] ,Partial,"['device_generate_lock_screen_screenshot: authw <*>(<*>)[<*>, <*>, <*>, <*>] shield <*>(<*>), dev [<*>,<*>]']",3,E200
[ <*>  <*>  ksfetch [ <*>/<*> ]    [ lvl = <*> ]   kshelperreceivealldata (  )   kshelpertool  read  <*>  bytes  from  stdin. ] ,Match,['<*>-<*>-<*> <*>:<*>:<*>.<*> ksfetch[<*>/<*>] [lvl=<*>] KSHelperReceiveAllData() KSHelperTool read <*> bytes from stdin.'],3,E92
[  [ <*> ]   FigAgglomeratorSetObjectForKey  signalled  err = <*> ( kFigStringConformerError_ParamErr )    ( NULL  key )   at  /Library/Caches<*>/Sources/CoreMedia<*>/Prototypes/LegibleOutput/FigAgglomerator.c  line <*> ] ,Partial,['[<*>:<*>:<*>.<*>] FigAgglomeratorSetObjectForKey signalled err=<*> (kFigStringConformerError_ParamErr) (NULL key) at <*> line <*>'],11,E17
[ <*>  :  BTLE  scanner  Powered  Off ] ,Match,['<*>:<*>:<*>.<*> : BTLE scanner Powered Off'],4,E63
"[ pbrequester  <*>  <*>  error  error  domain = nsurlerrordomain  code = -<*>  ""the  internet  <*>  <*>  <*>  <*>  offline.""  userinfo = nsunderlyingerror = <*>  error  domain = kcferrordomaincfnetwork  code = -<*>  ""the  internet  <*>  <*>  <*>  <*>  offline.""  userinfo = nserrorfailingurlstringkey = https://<*>/dispatcher.arpc   nserrorfailingurlkey = https://<*>/dispatcher.arpc   _kcfstreamerrorcodekey = <*>   _kcfstreamerrordomainkey = <*>   nslocalizeddescription = the  internet  <*>  <*>  <*>  <*>  offline.   nserrorfailingurlstringkey = https://<*>/dispatcher.arpc   nserrorfailingurlkey = https://<*>/dispatcher.arpc   _kcfstreamerrordomainkey = <*>   _kcfstreamerrorcodekey = <*>   nslocalizeddescription = the  internet  <*>  <*>  <*>  <*>  offline. ] ",Partial,"['PBRequester failed with Error Error Domain=NSURLErrorDomain Code=<*> ""The Internet connection appears to be offline."" UserInfo={NSUnderlyingError=<*> {Error Domain=kCFErrorDomainCFNetwork Code=<*> ""The Internet connection appears to be offline."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=The Internet connection appears to be offline.}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=The Internet connection appears to be offline.}']",2,E285
[ arpt:  <*>:  aqm  agg  params  <*>  maxlen  hi/lo  <*>  <*>  minlen  <*>  adjlen  <*> ] ,Match,['ARPT: <*>.<*>: AQM agg params <*> maxlen hi/lo <*> <*> minlen <*> adjlen <*>'],7,E129
[ Received  Capture  Event ] ,Match,['Received Capture Event'],15,E294
[ Sandbox:  QQ ( <*> )   deny ( <*> )   mach-lookup  <*> ] ,Partial,['Sandbox: <*>(<*>) deny(<*>) mach-lookup <*>'],3,E299
[  [ <*> ]     Boss    figPlaybackBossPrerollCompleted:  unexpected  preroll-complete  notification ] ,Match,['[<*>:<*>:<*>.<*>] <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification'],23,E12
[ sigio_handler:  sigio_handler_active   =   <*> ] ,Match,"['sigio_handler: sigio_handler_active != <*>', '(DiskStore.Normal:<*>) <*> <*>.<*>']",6,E312
[   _getsysmsglist ] ,Match,"['############################## _getSysMsgList', 'AppleCamIn::handleWakeEvent_gated']",25,E1
"[ configuration  notice:  asl  module  ""<*>""  <*>  <*>  messages.  those  messages  <*>  <*>  <*>  <*>  <*>  <*>  <*>  <*>  <*>  <*>  <*>  asl  <*>. ] ",Partial,"['Configuration Notice: ASL Module ""<*>"" claims selected messages. Those messages may not appear in standard system log files or in the ASL database.']",2,E190
[ Wake  reason:   ] ,Match,['Wake reason: ?'],2,E335
[ <*>  :  Scanning  mode  Contacts  Only ] ,Match,['<*>:<*>:<*>.<*> : Scanning mode Contacts Only'],7,E70
[ <*>  :  BTLE  scanning  stopped ] ,Match,['<*>:<*>:<*>.<*> : BTLE scanning stopped'],2,E66
[ wake  time  set  -<*>  s ] ,Match,['wake time set <*> s'],3,E339
